Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
0	0	50.53674	47.14829	3.388457	0.004887365
1	1	53.56837	50.45374	3.114626	0.006426851
2	0	53.67406	50.53472	3.139332	0.006270013
3	1	53.44879	50.35212	3.096667	0.006543315
4	0	52.42381	49.11485	3.308959	0.005291766
5	1	53.56903	50.45429	3.114743	0.006426097
6	0	52.70449	49.67428	3.030214	0.006992907
7	1	53.56518	50.45111	3.114066	0.006430449
8	0	53.64134	50.51157	3.129775	0.006330222
9	1	53.12887	50.06598	3.062892	0.006768086
10	0	53.70529	50.5501	3.155187	0.006171385
11	1	53.61976	50.41647	3.20329	0.005881552
12	0	53.70809	50.54968	3.158412	0.006151513
13	1	53.62612	50.49999	3.126126	0.006353365
14	0	53.66997	50.53202	3.137952	0.006278674
15	1	53.47349	50.24631	3.227181	0.005742702
16	0	52.79787	49.76115	3.036725	0.006947527
17	1	52.95016	49.90209	3.048071	0.006869146
18	0	53.7095	50.5421	3.167405	0.006096446
19	1	53.01754	49.74643	3.271118	0.005495845
20	0	52.27061	49.26743	3.003177	0.007184555
21	1	53.70896	50.5491	3.159859	0.006142623
22	0	53.68885	50.50561	3.183243	0.006000647
23	1	53.70896	50.5491	3.159859	0.006142623
24	0	53.64272	50.5126	3.130125	0.006328008
25	1	53.09683	50.03674	3.060088	0.006787092
26	0	53.0167	49.96333	3.05337	0.006832843
27	1	53.0716	49.80467	3.266935	0.005518882
28	0	53.70972	50.54796	3.161758	0.006130965
29	1	53.47524	50.37502	3.100216	0.006520131
30	0	53.17136	50.10463	3.066729	0.00674217
31	1	53.14769	49.88696	3.260725	0.005553264
32	0	52.97341	49.92351	3.049896	0.006856621
33	1	53.20261	49.94664	3.255967	0.005579748
34	0	53.55401	50.44186	3.112151	0.006442774
35	1	53.2129	50.14227	3.070624	0.00671596
36	0	52.85914	49.57666	3.282482	0.005433743
37	1	52.804	49.51782	3.286177	0.005413706
38	0	53.69282	50.51144	3.18138	0.006011839
39	1	53.63819	50.5092	3.128991	0.006335191
40	0	53.06911	50.01139	3.057719	0.006803193
41	1	53.66618	50.52945	3.136731	0.006286346
42	0	52.54443	49.52473	3.019693	0.00706687
43	1	52.14125	48.81759	3.323663	0.005214525
44	0	53.70855	50.53917	3.169373	0.006084456
45	1	53.28407	50.20638	3.077684	0.00666871
46	0	53.56892	50.35594	3.212977	0.005824853
47	1	53.70973	50.54304	3.166697	0.006100761
48	0	53.39457	50.15776	3.236804	0.005687703
49	1	53.23541	49.98241	3.252998	0.005596339
50	0	52.84815	49.80779	3.040363	0.006922298
51	1	53.24261	50.16911	3.073508	0.006696617
52	0	52.56033	49.53963	3.020706	0.007059713
53	1	53.60117	50.39408	3.207093	0.005859228
54	0	53.64941	50.51754	3.131873	0.006316959
55	1	53.68922	50.54391	3.145308	0.006232657
56	0	53.32685	50.24464	3.082207	0.006638619
57	1	53.70079	50.52397	3.176827	0.006039271
58	0	52.91825	49.87264	3.045609	0.00688608
59	1	53.15341	50.08832	3.065091	0.006753219
60	0	53.41178	50.3198	3.091983	0.006574032
61	1	53.65782	50.46383	3.193992	0.00593649
62	0	53.66488	50.52855	3.136323	0.006288907
63	1	50.68991	47.30673	3.383179	0.004913229
64	0	53.68712	50.50312	3.184	0.00599611
65	1	53.60324	50.48203	3.121209	0.006384681
66	0	52.52741	49.22426	3.303146	0.005322613
67	1	50.76231	47.83125	2.931054	0.007721866
68	0	53.70255	50.54967	3.152882	0.006185625
69	1	52.95326	49.90494	3.048312	0.006867487
70	0	53.67669	50.53643	3.140265	0.006264166
71	1	53.65755	50.52342	3.134135	0.006302681
72	0	53.55053	50.43896	3.111569	0.006446527
73	1	53.46836	50.24051	3.227851	0.005738852
74	0	53.68723	50.50328	3.183951	0.0059964
75	1	53.43953	50.20804	3.231496	0.005717974
76	0	53.56313	50.44942	3.113709	0.006432745
77	1	53.53116	50.31211	3.21905	0.005789582
78	0	50.4449	47.05334	3.391557	0.00487224
79	1	53.60388	50.48254	3.121339	0.00638385
80	0	53.3636	50.2773	3.086292	0.006611554
81	1	53.49641	50.27233	3.224085	0.005760506
82	0	53.65896	50.46529	3.193668	0.005938414
83	1	52.56477	49.26379	3.300985	0.005334129
84	0	53.50596	50.28321	3.222747	0.00576822
85	1	53.4687	50.36938	3.099322	0.006525965
86	0	53.5811	50.46417	3.116925	0.00641209
87	1	53.24856	50.17446	3.074096	0.006692684
88	0	52.79125	49.75499	3.036253	0.006950809
89	1	52.72948	49.43849	3.290987	0.005387724
90	0	53.6759	50.48758	3.188327	0.005970218
91	1	53.26972	50.1935	3.076217	0.006678501
92	0	53.25875	50.18364	3.075111	0.006685891
93	1	53.10546	50.04462	3.060836	0.006782015
94	0	53.52048	50.4137	3.106776	0.0064775
95	1	53.64085	50.5112	3.129653	0.006330996
96	0	53.50276	50.39864	3.104124	0.006494701
97	1	52.47156	49.16525	3.306311	0.005305794
98	0	53.67607	50.53603	3.140042	0.006265566
99	1	52.65031	49.35441	3.295894	0.005361352
100	0	53.68177	50.5396	3.142169	0.006252248
101	1	53.69747	50.51857	3.178899	0.006026773
102	0	53.70506	50.53155	3.173506	0.006059363
103	1	52.26116	49.25852	3.002635	0.00718845
104	0	53.65071	50.51849	3.132225	0.006314735
105	1	53.55048	50.43892	3.111561	0.006446578
106	0	53.69609	50.54734	3.148743	0.006211283
107	1	53.68018	50.49341	3.186775	0.005979491
108	0	53.7067	50.55006	3.156637	0.006162443
109	1	52.95334	49.67747	3.275872	0.005469782
110	0	53.36073	50.27476	3.085965	0.006613712
111	1	53.66946	50.53167	3.137783	0.006279737
112	0	53.23969	49.98708	3.252603	0.005598548
113	1	53.15616	50.09082	3.065341	0.006751535
114	0	47.76147	44.93398	2.827483	0.008564519
115	1	53.60404	50.39751	3.206528	0.005862537
116	0	53.70045	50.52339	3.177059	0.00603787
117	1	53.4049	50.31376	3.091145	0.006579546
118	0	53.6861	50.50167	3.184432	0.005993519
119	1	53.67733	50.48951	3.18782	0.005973243
120	0	53.14296	49.88183	3.261123	0.005551052
121	1	52.18769	48.86634	3.321348	0.005226609
122	0	53.64575	50.44852	3.197231	0.005917293
123	1	53.70632	50.53406	3.172264	0.006066895
124	0	53.70225	50.52645	3.175802	0.006045467
125	1	53.50359	50.2805	3.223082	0.005766286
126	0	53.43502	50.20298	3.232047	0.005714822
127	1	52.10786	48.78255	3.325305	0.005205967
128	0	53.617	50.41312	3.203878	0.005878094
129	1	53.65921	50.5246	3.134617	0.006299644
130	0	53.70783	50.54979	3.158033	0.006153848
