Iteration	Posterior	Likelihood	Prior	sigma2
0	50.53674	47.14829	3.388457	0.004887365
10	53.67406	50.53472	3.139332	0.006270013
20	52.42381	49.11485	3.308959	0.005291766
30	52.70449	49.67428	3.030214	0.006992907
40	53.64134	50.51157	3.129775	0.006330222
50	53.70529	50.5501	3.155187	0.006171385
60	53.70809	50.54968	3.158412	0.006151513
70	53.66997	50.53202	3.137952	0.006278674
80	52.79787	49.76115	3.036725	0.006947527
90	53.7095	50.5421	3.167405	0.006096446
100	52.27061	49.26743	3.003177	0.007184555
110	53.68885	50.50561	3.183243	0.006000647
120	53.64272	50.5126	3.130125	0.006328008
130	53.0167	49.96333	3.05337	0.006832843
140	53.70972	50.54796	3.161758	0.006130965
150	53.17136	50.10463	3.066729	0.00674217
160	52.97341	49.92351	3.049896	0.006856621
170	53.55401	50.44186	3.112151	0.006442774
180	52.85914	49.57666	3.282482	0.005433743
190	53.69282	50.51144	3.18138	0.006011839
200	53.06911	50.01139	3.057719	0.006803193
210	52.54443	49.52473	3.019693	0.00706687
220	53.70855	50.53917	3.169373	0.006084456
230	53.56892	50.35594	3.212977	0.005824853
240	53.39457	50.15776	3.236804	0.005687703
250	52.84815	49.80779	3.040363	0.006922298
260	52.56033	49.53963	3.020706	0.007059713
270	53.64941	50.51754	3.131873	0.006316959
280	53.32685	50.24464	3.082207	0.006638619
290	52.91825	49.87264	3.045609	0.00688608
300	53.41178	50.3198	3.091983	0.006574032
310	53.66488	50.52855	3.136323	0.006288907
320	53.68712	50.50312	3.184	0.00599611
330	52.52741	49.22426	3.303146	0.005322613
340	53.70255	50.54967	3.152882	0.006185625
350	53.67669	50.53643	3.140265	0.006264166
360	53.55053	50.43896	3.111569	0.006446527
370	53.68723	50.50328	3.183951	0.0059964
380	53.56313	50.44942	3.113709	0.006432745
390	50.4449	47.05334	3.391557	0.00487224
400	53.3636	50.2773	3.086292	0.006611554
410	53.65896	50.46529	3.193668	0.005938414
420	53.50596	50.28321	3.222747	0.00576822
430	53.5811	50.46417	3.116925	0.00641209
440	52.79125	49.75499	3.036253	0.006950809
450	53.6759	50.48758	3.188327	0.005970218
460	53.25875	50.18364	3.075111	0.006685891
470	53.52048	50.4137	3.106776	0.0064775
480	53.50276	50.39864	3.104124	0.006494701
490	53.67607	50.53603	3.140042	0.006265566
500	53.68177	50.5396	3.142169	0.006252248
510	53.70506	50.53155	3.173506	0.006059363
520	53.65071	50.51849	3.132225	0.006314735
530	53.69609	50.54734	3.148743	0.006211283
540	53.7067	50.55006	3.156637	0.006162443
550	53.36073	50.27476	3.085965	0.006613712
560	53.23969	49.98708	3.252603	0.005598548
570	47.76147	44.93398	2.827483	0.008564519
580	53.70045	50.52339	3.177059	0.00603787
590	53.6861	50.50167	3.184432	0.005993519
600	53.14296	49.88183	3.261123	0.005551052
610	53.64575	50.44852	3.197231	0.005917293
620	53.70225	50.52645	3.175802	0.006045467
630	53.43502	50.20298	3.232047	0.005714822
640	53.617	50.41312	3.203878	0.005878094
650	53.70783	50.54979	3.158033	0.006153848
660	53.53007	50.42181	3.108263	0.006467876
670	52.82026	49.53516	3.2851	0.005419538
680	53.70457	50.53063	3.173944	0.00605671
690	53.62162	50.41873	3.202889	0.005883908
700	53.69062	50.54466	3.145956	0.006228615
710	53.69062	50.54466	3.145956	0.006228615
720	53.70747	50.54991	3.157558	0.006156771
730	53.68058	50.53887	3.14171	0.006255119
740	52.85422	49.81341	3.040809	0.006919211
750	53.12318	49.86041	3.26277	0.005541916
760	53.69295	50.54586	3.147088	0.006221569
770	53.6577	50.52352	3.134178	0.006302414
780	53.61346	50.49012	3.123333	0.006371132
790	52.36176	49.04943	3.312323	0.005273993
800	53.7092	50.54107	3.168135	0.006091995
810	53.27393	50.19728	3.076645	0.00667564
820	53.51193	50.29004	3.221893	0.005773151
830	53.39846	50.30809	3.090368	0.006584662
840	50.25011	47.33933	2.910785	0.007879984
850	52.99963	49.94764	3.051988	0.006842292
860	53.40486	50.16924	3.235625	0.005694413
870	53.04487	49.98918	3.055687	0.006817028
880	53.6035	50.39686	3.206636	0.005861907
890	53.40375	50.16799	3.235754	0.005693681
900	53.12429	49.86162	3.262678	0.005542427
910	53.62765	50.50117	3.126478	0.006351129
920	53.67801	50.49044	3.187575	0.005974707
930	53.40244	50.3116	3.090847	0.006581504
940	53.69127	50.545	3.146263	0.006226708
950	52.76967	49.73494	3.034726	0.006961427
960	53.09005	50.03054	3.059504	0.006791058
970	53.50998	50.40479	3.105191	0.006487777
980	53.57586	50.36409	3.211773	0.005831869
990	53.42126	50.18756	3.233704	0.005705365
1000	47.00566	43.52094	3.484716	0.004438847
1010	53.46825	50.24038	3.227866	0.005738769
1020	53.27141	50.02179	3.249615	0.005615301
1030	53.57809	50.36671	3.21138	0.005834161
1040	53.65146	50.45571	3.195743	0.005926105
1050	53.26347	50.18788	3.075586	0.006682718
1060	52.6124	49.31422	3.298176	0.005349133
1070	52.37776	49.36832	3.009446	0.007139657
1080	53.32553	50.24347	3.082064	0.006639564
1090	53.51481	50.29333	3.221477	0.005775549
1100	53.23815	50.16508	3.073069	0.006699556
1110	52.69295	49.66352	3.02943	0.006998392
1120	53.51264	50.40705	3.105588	0.006485201
1130	53.48843	50.38637	3.10206	0.006508122
1140	53.63123	50.50392	3.127313	0.006345829
1150	53.1967	50.12761	3.069087	0.00672629
1160	53.16607	49.90691	3.25916	0.005561959
1170	51.31424	48.35942	2.954817	0.007540537
1180	52.0218	49.03238	2.989422	0.007284063
1190	53.28264	50.03411	3.248531	0.005621393
1200	52.2655	49.26261	3.002884	0.007186662
1210	52.64855	49.35255	3.296001	0.005360781
1220	53.00701	49.95443	3.052583	0.006838217
1230	52.80018	49.76329	3.03689	0.00694638
1240	53.64787	50.45119	3.196686	0.005920522
1250	53.18563	49.92817	3.257465	0.005571397
1260	53.68449	50.49939	3.185098	0.00598953
1270	52.47843	49.46287	3.015557	0.00709616
1280	51.84185	48.86178	2.980061	0.007352564
1290	53.44622	50.21555	3.230669	0.005722704
1300	53.70277	50.54972	3.153052	0.006184578
1310	53.70659	50.55008	3.156519	0.006163172
1320	53.70938	50.5486	3.160781	0.006136961
1330	53.33385	50.09047	3.24339	0.00565037
1340	50.94625	48.00752	2.938725	0.007662862
1350	53.61655	50.41258	3.203972	0.005877539
1360	53.53341	50.3147	3.218708	0.005791564
1370	53.70659	50.53463	3.171966	0.006068699
1380	53.59785	50.47772	3.120129	0.00639158
1390	53.7034	50.54986	3.153544	0.006181535
1400	53.57022	50.35746	3.212753	0.005826154
1410	52.49039	49.47409	3.016298	0.007090901
1420	52.514	49.49623	3.017773	0.007080454
1430	53.56187	50.3477	3.214168	0.00581792
1440	53.70123	50.52469	3.176532	0.006041054
1450	53.70155	50.5494	3.152148	0.006190172
1460	52.53833	49.51903	3.019306	0.007069602
1470	52.36881	49.3599	3.008913	0.00714346
1480	53.69789	50.51923	3.178658	0.006028226
1490	53.12243	49.8596	3.262832	0.005541573
1500	53.69351	50.51247	3.181037	0.006013902
1510	53.60847	50.40283	3.205641	0.005867738
1520	53.69057	50.54464	3.145931	0.006228773
1530	53.00252	49.9503	3.052221	0.006840697
1540	53.54717	50.3306	3.216564	0.005803993
1550	53.62444	50.4987	3.125744	0.006355789
1560	53.55133	50.43963	3.111702	0.006445672
1570	53.30843	50.2282	3.080231	0.006651747
1580	53.65835	50.52399	3.134367	0.006301221
1590	53.70861	50.54939	3.15922	0.006146546
1600	53.5375	50.42806	3.10944	0.006460265
1610	53.43684	50.20501	3.231826	0.005716088
1620	53.64065	50.51105	3.129601	0.006331323
1630	53.14045	49.87911	3.261334	0.005549882
1640	52.49912	49.19436	3.304759	0.005314035
1650	53.53062	50.42227	3.108348	0.006467326
1660	53.44023	50.34467	3.095556	0.006550585
1670	53.71001	50.54689	3.163113	0.006122663
1680	53.13732	49.87572	3.261595	0.00554843
1690	53.48347	50.25761	3.225853	0.005750332
1700	53.41644	50.32388	3.092556	0.006570265
1710	53.66304	50.52728	3.135761	0.006292445
1720	53.70993	50.54728	3.162651	0.006125496
1730	53.62585	50.42389	3.201959	0.005889384
1740	51.60414	48.63582	2.968323	0.007439377
1750	53.11649	50.05469	3.0618	0.006775483
1760	53.45291	50.22307	3.229831	0.005727501
1770	52.67708	49.64872	3.028359	0.007005894
1780	53.14082	50.07686	3.063957	0.006760882
1790	52.77198	49.48371	3.288268	0.005402395
1800	53.51147	50.40606	3.105413	0.006486336
1810	52.72816	49.43709	3.291071	0.005387275
1820	53.17992	49.92195	3.257963	0.005568619
1830	53.05392	49.7856	3.268323	0.005511228
1840	53.63325	50.50546	3.127792	0.00634279
1850	52.20937	48.88912	3.320254	0.005232328
1860	53.04657	49.99074	3.055828	0.006816063
1870	53.7067	50.53486	3.171845	0.006069433
1880	53.27883	50.02993	3.248901	0.005619316
1890	53.45853	50.22942	3.229117	0.00573159
1900	53.49487	50.27057	3.224299	0.005759273
1910	53.6134	50.40877	3.204631	0.005873667
1920	51.65716	48.31125	3.345912	0.005099787
1930	53.54697	50.43599	3.110979	0.006450332
1940	53.7082	50.54963	3.158565	0.006150573
1950	53.54124	50.32374	3.217499	0.00579857
1960	53.51229	50.40675	3.105536	0.006485538
1970	53.61055	50.48783	3.122718	0.006375052
1980	52.93151	49.88489	3.046626	0.006879075
1990	53.67414	50.48521	3.188936	0.005966582
2000	53.51268	50.2909	3.221784	0.005773776
2010	53.59283	50.47368	3.119146	0.006397869
2020	53.32753	50.24525	3.082281	0.006638127
2030	52.38655	49.07556	3.310989	0.005281034
2040	53.6948	50.51442	3.180373	0.006017893
2050	53.71001	50.54465	3.165366	0.006108888
2060	53.02215	49.96834	3.053815	0.006829801
2070	52.37795	49.36849	3.009457	0.007139579
2080	52.72873	49.43769	3.291035	0.005387467
2090	53.61752	50.41375	3.203768	0.005878743
2100	53.70801	50.53781	3.170199	0.006079432
2110	53.66495	50.47305	3.1919	0.005948927
2120	52.60692	49.30842	3.298502	0.005347388
2130	53.6167	50.49267	3.124031	0.006366687
2140	53.07503	50.01681	3.058221	0.006799776
2150	52.4975	49.48076	3.016741	0.007087761
2160	53.63248	50.43203	3.200454	0.005898254
2170	53.54612	50.43528	3.11084	0.006451231
2180	53.15792	50.09242	3.0655	0.00675046
2190	52.4842	49.46829	3.015914	0.007093623
2200	52.94122	49.66448	3.276746	0.005465005
2210	53.6849	50.49997	3.184929	0.005990539
2220	53.55234	50.44047	3.111871	0.006444581
2230	53.11191	50.05051	3.061399	0.0067782
2240	53.46991	50.24226	3.22765	0.005740007
2250	50.16443	47.2569	2.907532	0.007905655
2260	52.49524	49.19026	3.304979	0.005312869
2270	53.4648	50.23649	3.228313	0.005736205
2280	52.68414	49.65531	3.028834	0.007002564
2290	53.5661	50.35264	3.213457	0.005822058
2300	53.58905	50.37965	3.209396	0.00584575
2310	53.70625	50.5501	3.156143	0.006165491
2320	53.68649	50.50222	3.18427	0.00599449
2330	53.69738	50.5479	3.149481	0.006206702
2340	53.32898	50.08509	3.243893	0.005647524
2350	52.98973	49.93853	3.051194	0.006847728
2360	53.17642	49.91816	3.258267	0.00556693
2370	53.70933	50.54147	3.167852	0.006093718
2380	53.47257	50.24527	3.227302	0.005742008
2390	53.43836	50.34304	3.095316	0.00655216
2400	53.66983	50.47946	3.190371	0.005958029
2410	53.70947	50.54847	3.160997	0.006135632
2420	53.48091	50.3799	3.101002	0.006515011
2430	53.61967	50.49499	3.12468	0.006362557
2440	53.69091	50.54482	3.146094	0.00622776
2450	53.70466	50.55005	3.154607	0.006174969
2460	53.68094	50.53909	3.141848	0.006254255
2470	53.01796	49.74687	3.271087	0.005496018
2480	53.6886	50.54358	3.145029	0.006234397
2490	52.81167	49.77395	3.037713	0.006940664
2500	53.52724	50.3076	3.219642	0.00578616
2510	52.84102	49.80118	3.03984	0.006925915
2520	53.08833	50.02898	3.059357	0.006792058
2530	52.70576	49.67546	3.0303	0.006992304
2540	50.72113	47.79176	2.929368	0.007734903
2550	53.19203	49.93513	3.256903	0.005574526
2560	53.65495	50.52156	3.133395	0.006307348
2570	53.71004	50.54492	3.165123	0.006110374
2580	53.14364	50.07943	3.064211	0.006759169
2590	53.17767	49.91951	3.258159	0.005567532
2600	53.70577	50.55012	3.155648	0.006168542
2610	53.60399	50.48262	3.121361	0.006383713
2620	53.57815	50.36678	3.21137	0.005834222
2630	53.69938	50.54868	3.150693	0.006199184
2640	53.14557	50.08118	3.064383	0.006758001
2650	51.94927	48.6164	3.332869	0.005166738
2660	53.53775	50.42827	3.10948	0.006460005
2670	53.66652	50.4751	3.191417	0.005951797
2680	53.61545	50.49169	3.123761	0.00636841
2690	52.6653	49.37032	3.29498	0.005366255
2700	53.62936	50.50249	3.126874	0.006348612
2710	52.798	49.76127	3.036734	0.006947464
2720	53.47082	50.24329	3.227531	0.005740693
2730	53.00554	49.73351	3.272024	0.00549087
2740	51.46557	48.11163	3.353938	0.00505902
2750	53.52948	50.31017	3.219306	0.005788105
2760	52.8887	49.84533	3.043371	0.006901504
2770	53.62892	50.42765	3.20127	0.005893446
2780	50.74888	47.36777	3.381109	0.00492341
2790	53.69949	50.54873	3.150767	0.006198727
2800	53.28034	50.20304	3.077301	0.006671268
2810	53.70425	50.55	3.154248	0.006177186
2820	53.56675	50.45241	3.114341	0.006428683
2830	52.10251	48.77695	3.325566	0.005204607
2840	51.49504	48.5319	2.963145	0.007478004
2850	53.48633	50.26086	3.225467	0.005752552
2860	53.25394	50.00266	3.251274	0.005605995
2870	53.38355	50.29495	3.088598	0.006596321
2880	53.68618	50.50178	3.184398	0.005993724
2890	53.43057	50.19798	3.232588	0.005711733
2900	53.4695	50.37007	3.09943	0.006525257
2910	53.59903	50.39152	3.207509	0.005856789
2920	53.5122	50.40668	3.105522	0.006485625
2930	53.31536	50.23439	3.08097	0.006646835
2940	53.55195	50.44014	3.111806	0.006445001
2950	53.3767	50.1379	3.238804	0.005676337
2960	53.68582	50.50127	3.184549	0.005992819
2970	52.83142	49.79228	3.039141	0.006930759
2980	53.67885	50.49158	3.187269	0.005976538
2990	53.61014	50.48751	3.122631	0.006375608
3000	53.71007	50.54539	3.164683	0.006113058
3010	53.21785	50.14675	3.071099	0.006712772
3020	53.17593	50.10878	3.06715	0.006739329
3030	53.70581	50.53303	3.172786	0.006063727
3040	53.70279	50.54973	3.153067	0.006184484
3050	52.97648	49.7023	3.274183	0.005479025
3060	53.40801	50.31649	3.091522	0.006577061
3070	53.64824	50.51668	3.131561	0.006318928
3080	53.11871	50.05671	3.061995	0.00677416
3090	52.46812	49.4532	3.01492	0.007100679
3100	53.6798	50.49288	3.186918	0.005978637
3110	52.90376	49.85926	3.044507	0.006893669
3120	53.12554	50.06294	3.062597	0.006770081
3130	53.70518	50.5501	3.155081	0.006172039
3140	53.64365	50.44589	3.197762	0.005914155
3150	53.66617	50.47464	3.191526	0.005951148
3160	53.03665	49.76699	3.26966	0.005503864
3170	53.46243	50.23381	3.228618	0.005734452
3180	53.44769	50.35116	3.096523	0.006544256
3190	53.68214	50.53982	3.142315	0.006251341
3200	53.22446	50.15273	3.071736	0.006708493
3210	52.9998	49.72735	3.272454	0.005488508
3220	53.32283	50.0783	3.244525	0.005643956
3230	53.70929	50.54136	3.167933	0.006093226
3240	53.56403	50.45016	3.113866	0.006431737
3250	53.64448	50.5139	3.130576	0.006325157
3260	53.53328	50.42452	3.108769	0.006464602
3270	52.08274	49.09004	2.992697	0.007260243
3280	50.33921	47.425	2.914206	0.007853068
3290	53.33352	50.25059	3.082934	0.006633792
3300	50.37651	47.46086	2.915651	0.007841731
3310	52.91146	49.86637	3.045091	0.006889642
3320	53.60484	50.39847	3.20637	0.005863464
3330	53.48303	50.25712	3.225912	0.005749994
3340	53.1841	50.1162	3.067908	0.006734224
3350	50.38803	46.99457	3.393453	0.004863012
3360	53.65973	50.46628	3.193448	0.005939722
3370	50.31241	46.91646	3.395946	0.004850899
3380	53.61017	50.40487	3.205296	0.005869763
3390	52.09378	48.76779	3.325992	0.005202392
3400	53.24559	49.99353	3.252055	0.005601616
3410	53.39995	50.3094	3.090547	0.006583483
3420	50.84612	47.9116	2.934521	0.007695142
3430	53.29808	50.21894	3.079141	0.006659004
3440	53.56686	50.35353	3.213328	0.005822809
3450	53.70925	50.54122	3.168026	0.006092658
3460	53.1972	49.94075	3.256447	0.005577069
3470	53.18755	50.11932	3.068229	0.006732059
3480	53.23492	49.98188	3.253043	0.005596088
3490	53.18598	49.92855	3.257434	0.005571566
3500	53.37677	50.28896	3.087807	0.006601545
3510	52.54807	49.24612	3.301955	0.005328955
3520	51.26109	48.30866	2.952425	0.007558594
3530	53.70151	50.54939	3.152119	0.006190348
3540	53.27541	50.19861	3.076796	0.006674633
3550	52.57144	49.55003	3.021418	0.007054689
3560	53.49107	50.26624	3.224822	0.005756265
3570	53.6032	50.3965	3.206695	0.005861561
3580	53.69922	50.54863	3.150593	0.006199804
3590	53.53662	50.3184	3.218216	0.005794414
3600	53.48879	50.38668	3.10211	0.006507793
3610	53.69983	50.52237	3.17746	0.006035452
3620	53.63913	50.44025	3.198878	0.005907558
3630	52.42675	49.11795	3.308797	0.00529262
3640	53.24088	49.98839	3.252493	0.005599168
3650	53.63976	50.44104	3.198724	0.005908467
3660	53.37974	50.29159	3.088154	0.006599257
3670	52.42794	49.41548	3.012463	0.007118145
3680	53.60963	50.40423	3.205406	0.005869122
3690	53.11849	50.05651	3.061976	0.00677429
